season,round,race_id,lap_number,driver_id,position,lap_time
2025,1,2025_1,9,bearman,17,1:38.564
2025,1,2025_1,10,norris,1,1:32.130
2025,1,2025_1,10,max_verstappen,2,1:32.650
2025,1,2025_1,10,piastri,3,1:32.672
2025,1,2025_1,10,russell,4,1:33.587
2025,1,2025_1,10,leclerc,5,1:33.539
2025,1,2025_1,10,tsunoda,6,1:34.433
2025,1,2025_1,10,albon,7,1:34.494
2025,1,2025_1,10,hamilton,8,1:35.107
2025,1,2025_1,10,gasly,9,1:35.527
2025,1,2025_1,10,alonso,10,1:35.569
2025,1,2025_1,10,stroll,11,1:35.140
2025,1,2025_1,10,hulkenberg,12,1:35.044
2025,1,2025_1,10,antonelli,13,1:35.270
2025,1,2025_1,10,bortoleto,14,1:35.625
2025,1,2025_1,10,ocon,15,1:36.474
2025,1,2025_1,10,lawson,16,1:36.614
2025,1,2025_1,10,bearman,17,1:36.411
2025,1,2025_1,11,norris,1,1:32.189
2025,1,2025_1,11,max_verstappen,2,1:32.453
2025,1,2025_1,11,piastri,3,1:31.959
2025,1,2025_1,11,russell,4,1:33.347
2025,1,2025_1,11,leclerc,5,1:34.251
2025,1,2025_1,11,tsunoda,6,1:34.136
2025,1,2025_1,11,albon,7,1:34.206
2025,1,2025_1,11,hamilton,8,1:34.299
2025,1,2025_1,11,gasly,9,1:34.702
2025,1,2025_1,11,alonso,10,1:35.300
2025,1,2025_1,11,stroll,11,1:34.972
2025,1,2025_1,11,hulkenberg,12,1:34.990
2025,1,2025_1,11,antonelli,13,1:34.678
2025,1,2025_1,11,bortoleto,14,1:34.655
2025,1,2025_1,11,ocon,15,1:35.696
2025,1,2025_1,11,lawson,16,1:35.174
2025,1,2025_1,11,bearman,17,1:35.416
2025,1,2025_1,12,norris,1,1:31.778
2025,1,2025_1,12,max_verstappen,2,1:31.591
2025,1,2025_1,12,piastri,3,1:31.290
2025,1,2025_1,12,russell,4,1:32.803
2025,1,2025_1,12,leclerc,5,1:33.536
2025,1,2025_1,12,tsunoda,6,1:33.273
2025,1,2025_1,12,albon,7,1:33.713
2025,1,2025_1,12,hamilton,8,1:33.255
2025,1,2025_1,12,gasly,9,1:34.227
2025,1,2025_1,12,alonso,10,1:34.076
2025,1,2025_1,12,stroll,11,1:34.426
2025,1,2025_1,12,hulkenberg,12,1:34.989
2025,1,2025_1,12,antonelli,13,1:35.385
2025,1,2025_1,12,bortoleto,14,1:34.382
2025,1,2025_1,12,ocon,15,1:34.577
2025,1,2025_1,12,lawson,16,1:34.064
2025,1,2025_1,12,bearman,17,1:35.002
2025,1,2025_1,13,norris,1,1:31.318
2025,1,2025_1,13,max_verstappen,2,1:31.271
2025,1,2025_1,13,piastri,3,1:31.377
2025,1,2025_1,13,russell,4,1:32.364
2025,1,2025_1,13,leclerc,5,1:32.198
2025,1,2025_1,13,tsunoda,6,1:32.762
2025,1,2025_1,13,albon,7,1:33.153
2025,1,2025_1,13,hamilton,8,1:33.017
2025,1,2025_1,13,gasly,9,1:33.275
2025,1,2025_1,13,alonso,10,1:33.515
2025,1,2025_1,13,stroll,11,1:33.899
2025,1,2025_1,13,hulkenberg,12,1:34.064
2025,1,2025_1,13,antonelli,13,1:33.697
2025,1,2025_1,13,bortoleto,14,1:34.383
2025,1,2025_1,13,ocon,15,1:33.936
2025,1,2025_1,13,lawson,16,1:34.316
2025,1,2025_1,13,bearman,17,1:34.250
2025,1,2025_1,14,norris,1,1:30.795
2025,1,2025_1,14,max_verstappen,2,1:30.639
2025,1,2025_1,14,piastri,3,1:30.555
2025,1,2025_1,14,russell,4,1:31.856
2025,1,2025_1,14,leclerc,5,1:32.448
2025,1,2025_1,14,tsunoda,6,1:32.434
2025,1,2025_1,14,albon,7,1:32.717
2025,1,2025_1,14,hamilton,8,1:32.992
2025,1,2025_1,14,gasly,9,1:32.859
2025,1,2025_1,14,alonso,10,1:32.664
2025,1,2025_1,14,stroll,11,1:33.097
2025,1,2025_1,14,antonelli,12,1:33.802
2025,1,2025_1,14,hulkenberg,13,1:35.018
2025,1,2025_1,14,bortoleto,14,1:34.102
2025,1,2025_1,14,ocon,15,1:33.526
2025,1,2025_1,14,lawson,16,1:33.617
2025,1,2025_1,14,bearman,17,1:33.732
2025,1,2025_1,15,norris,1,1:30.226
2025,1,2025_1,15,max_verstappen,2,1:30.328
2025,1,2025_1,15,piastri,3,1:30.343
